France,C16,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",2022,5259.3,,,,,
France,C16T18,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials; manufacture of paper and paper products; printing and reproduction of recorded media",2022,13841.1,,,,,
France,C17,Manufacture of paper and paper products,2022,5822.5,,,,,
France,C18,Printing and reproduction of recorded media,2022,2759.3,,,,,
France,C19,Manufacture of coke and refined petroleum products,2022,4910.8,,,,,
France,C20,Manufacture of chemicals and chemical products,2022,19598.2,,,,,
France,C21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,2022,13404.9,,,,,
France,C22,Manufacture of rubber and plastics products,2022,9384.1,,,,,
France,C22_23,Manufacture of rubber and plastic products and other non-metallic mineral products,2022,18392.5,,,,,
France,C23,Manufacture of other non-metallic mineral products,2022,9008.4,,,,,
France,C24,Manufacture of basic metals,2022,10385.9,,,,,
France,C24_25,"Manufacture of basic metals and fabricated metal products, except machinery and equipment",2022,32695,,,,,
France,C25,"Manufacture of fabricated metal products, except machinery and equipment",2022,22309.1,,,,,
France,C26,"Manufacture of computer, electronic and optical products",2022,11514.6,,,,,
France,C27,Manufacture of electrical equipment,2022,7275.6,,,,,
France,C28,Manufacture of machinery and equipment n.e.c.,2022,13354.6,,,,,
France,C29,"Manufacture of motor vehicles, trailers and semi-trailers",2022,13986.3,,,,,
France,C29_30,"Manufacture of motor vehicles, trailers, semi-trailers and of other transport equipment",2022,32707.5,,,,,
France,C30,Manufacture of other transport equipment,2022,18721.2,,,,,
France,C31_32,Manufacture of furniture; other manufacturing,2022,8055.5,,,,,
France,C31T33,"Manufacture of furniture; jewellery, musical instruments, toys, etc.; repair and installation of machinery and equipment",2022,35976.5,,,,,
France,C33,Repair and installation of machinery and equipment,2022,27921,,,,,
France,D,"Electricity, gas, steam and air conditioning supply",2022,29635.7,,,,,
France,E,"Water supply; sewerage, waste management and remediation activities",2022,15340.7,,,,,
France,E36,"Water collection, treatment and supply",2022,3107.1,,,,,
France,E37T39,"Sewerage, waste management, remediation activities",2022,12233.6,,,,,
France,F,Construction,2022,129447.2,,,,,
